Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"9         ",Female,14,Right-Handed,58,,,2,Bus,"50 ",0.469,54,Dancing,800,800,1000,1000,500,300,23,"Right foot",5,7,"Ring finger",March,Spring,No,No,"No favorite",Water,Other,7,9,5,"Yes - dial-up connection",Telephone,200,150,0,3,.6,4,1,1,1,1,0,1.5,0,1,"A lot","Graduate degree",Reggae,Telepathy,Happy,Other,"International aid"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,157.4,23,170,3,Car,15,.355,40,Cycling,904,540,925,802,680,680,23,"Same length",70,80,"Ring finger",September,Fall,No,No,Breads/Sandwiches,Coffee,"Computers and technology",10,5,2,"Yes - broadband connection","Text messaging",0,0,35,0,30,5,1,30,5,0,30,6,0,1,Some,"Graduate degree",Other,"Freeze time",Rich,Other,Environment
USA,CA,2020,"7         ",Male,13,Right-Handed,5'7,6'7,86,2,Car,20,0.665,61,"Football (American)",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Left-Handed,154,24,182,0,Car,10,0.704,43,"Football (American)",,,,,,,24,"Same length",8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Left-Handed,177.8,25.2,180.3,1,Car,20,0.331,53,Golf,750,800,775,750,200,175,25,"Right foot",90,90,"Same length",April,Summer,No,No,Seafood,Water,Science,7,8.5,2,"Yes - broadband connection","Text messaging",11,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,21,Right-Handed,166cm,24cm,168cm,2,Bus,"30 ",0.593,75,Basketball,900,900,900,900,100,0,24cm,"Same length",72mm,73mm,"Ring finger",April,Winter,No,No,"Rice/Noodle dishes","Powdered drink",Art,8,4,3,"No internet connection","In person",5,3,5,2,1,8,2,1,2,1,1,1,1,3,"Very little","Some college","Rap/Hip hop",Invisibility,Healthy,Relative,Environment
USA,CA,2020,"9         ",Male,14,Right-Handed,,,,1,Bus,20,idk,idk,"Football (American)",,,,,,,,"Same length",,,"Same length",May,Spring,No,No,Pizza/Pasta,Water,Other,8,10,4,"Yes - broadband connection","Cell phone",30,40,,,,,,,,,,,,,"A lot","Some college","Rap/Hip hop","Freeze time",Rich,"Coach or club leader","Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,16,Right-Handed,5.6,8,135,2,Car,12,11,11,Soccer,0,1000,1000,1000,0,0,8,"Same length",4.9,4.9,"Same length",April,Summer,No,No,Meat,Water,Languages,20,11,8,"Yes - other","Text messaging",2,4,2,0,4,11,2,4,1,5,0,3,2,4,"Very little","High school",Other,"Super strength",Happy,Friend,"Education/Youth development"
