Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"12        ",Male,17,Right-Handed,194,30,194,1,Car,5,.633,8,Basketball,1000,1000,1000,1000,1000,1000,30,"Same length",90,90,"Same length",April,Summer,Yes,No,"Rice/Noodle dishes",Water,Art,7,8,2,"Yes - other","In person",69,69,,,,,,,,,,,,,None,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Business person","Education/Youth development"
USA,CA,2020,"11        ",Male,16,Right-Handed,165,28,148,2,Car,3,0.354,45,Bowling,755,820,600,500,850,900,28,"Same length",7.5,8,"Ring finger",July,Summer,Yes,No,Meat,"Soft drink (caffeinated)","Computers and technology",6,7,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",44,37,60,5,5,60,10,60,60,60,60,60,0,0,"Very little","Graduate degree",Pop,"Freeze time",Happy,Friend,Environment
USA,CA,2020,"11        ",Male,16,Right-Handed,189,31,193,2,Car,5,.34,41,Swimming,1000,900,1000,1000,700,1000,31,"Same length",80,84,"Ring finger",July,Summer,Yes,No,Pizza/Pasta,Water,"Computers and technology",7,9,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,200,60,10,15,15,40,30,50,50,50,20,10,10,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Friend,Environment
USA,CA,2020,"9         ",Male,14,Right-Handed,168cm,7cm,158,2,Bus,40min,400,10,Soccer,1000,1000,1000,1000,460,289,27,"Same length",80,70,"Ring finger",August,Spring,No,No,Meat,"Sports drink",Music,7,9,4,"Yes - dial-up connection","In person",80,90,7,1,0,6,3.5,1,1,6,0,0,0,.5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Education/Youth development"
USA,CA,2020,"9         ",Male,15,Right-Handed,159,274,251,0,"Rail (Train/Tram/Subway)",35,0.45,65,Basketball,1000,1000,1000,1000,1000,1000,13,"Same length",16,20,"Same length",October,Spring,Yes,No,Salads,Water,"Physical education",10,8,5,"Yes - broadband connection","Text messaging",0,0,8,1,5,10,15,20,0,1,1,24,0,0,Some,"High school","Rap/Hip hop","Super strength",Rich,"Sports person",Health
USA,CA,2020,"7         ",Male,13,Right-Handed,"5,2",23,,2,Car,5,0.948,40,Soccer,400,300,200,100,6000,10000,23,,75,75,"Same length",September,Winter,No,No,Meat,"Soft drink (caffeinated)",History,8,12,2,"Yes - other","Cell phone",2-5,2-4,2,1,2,4,0,5,1,0,3,4,0,2,,,,,,,
USA,CA,2020,"12        ",Male,17,Right-Handed,171,29,72,2,Car,20,0.47,40,Walking/Hiking,600,650,850,900,800,1000,29,"Same length",48,50,"Ring finger",May,Winter,No,No,Seafood,Water,Art,7,11,4,"Yes - broadband connection","Internet chat or instant messaging",7,6,0,0,4,2,0,6,0,1/4,7,0,0,2,Some,"Graduate degree",Jazz,"Freeze time",Happy,Friend,"Arts, culture, sports"
USA,CA,2020,"9         ",Female,14,Right-Handed,,,,2,Bus,40,41,43,Basketball,604,433,1000,652,128,1000,,,70,60,"Ring finger",November,Winter,Yes,No,"Rice/Noodle dishes",Water,English,6,8,4,"Yes - dial-up connection","Text messaging",100,200,8,3,1,24,6,0,24,2,0,2,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Famous,,"Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,179,28,186,1,Car,30,.363,39,Other,1000,500,750,750,1000,1000,28,"Same length",,80,"Ring finger",April,Summer,Yes,No,Pizza/Pasta,Water,Science,7.5,9,2,"Yes - broadband connection","Internet chat or instant messaging",50,225,48,3,10,5,20,5,24,24,72,5,0,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Environment
USA,CA,2020,"9         ",Male,15,Right-Handed,"5,11",11,241,2,Walk,"60 ",,,Basketball,,,,,,,,"Same length",,,"Same length",May,Summer,No,No,"No favorite",Water,History,"6 ",3,2,"Yes - other","Internet chat or instant messaging","50 ",50,24,1,,3,4,6,2,,24,,,,Some,"Some college","Rap/Hip hop","Freeze time",,Relative,"Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,17,Right-Handed,164,25,163,2,Car,10,0.741,55,Soccer,1000,1000,900,800,10,500,25,"Same length",7,7,"Same length",June,Spring,No,No,Meat,Tea,"Physical education",5,9,8,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,17,Ambidextrous,173,25.4,184,1,Bus,40,0.411,42,Basketball,733,283,166,369,118,37,25.4,"Same length",7,7,"Same length",November,Winter,Yes,No,Meat,Water,"Computers and technology",7,7,4,"Yes - broadband connection","Text messaging",12,18,0,0,2,4,5,8,12,6,4,12,0,0,Some,"Graduate degree",Pop,"Freeze time",Rich,Actor,Health
USA,CA,2020,"12        ",Female,20,Right-Handed,154,22.5,154.5,2,Car,10,0.738,82,Other,800,900,400,600,0,1000,2,"Left foot",61,65,"Ring finger",November,Summer,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",6,8,5,"Yes - other","Text messaging",115,120,20,10,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Female,15,Right-Handed,157,23,157,1,Walk,17,0.416,41,Dancing,4,3,1,2,6,5,23,"Same length",160,1550,"Index finger",October,Fall,Yes,No,"Rice/Noodle dishes",Water,History,9,6,4,"Yes - other","Text messaging",122,173,42,3,2,16,9,2,56,60,60,16,0,14,"Very little",,"Rhythm and blues (R&B)",Fly,Happy,Friend,"International aid"
USA,CA,2020,"12        ",Female,18,Right-Handed,158,23,159,1,Car,15,0.393,45,Baseball/Softball,55,55,80,70,10,10,22,"Right foot",70,70,"Same length",November,Summer,Yes,No,Seafood,Water,Science,9,11,5,"Yes - other","Cell phone",14,21,100,100,50,25,100,0,50,50,25,50,25,25,"A lot","Some college","Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,CA,2020,"11        ",Female,16,Right-Handed,155,21,160,2,Bus,60,.5,59,Walking/Hiking,920,497,508,444,193,1000,21,"Same length",80,90,"Ring finger",April,Summer,No,No,Fruit,Water,"Physical education",8,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,10,0,0,3,0,0,0,5,0,4,3,5,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,"Wildlife, animals"
USA,CA,2020,"9         ",Male,15,Left-Handed,174,,158,2,Walk,5m,0.624,"60 s",Soccer,1000,524,1000,0,1000,508,22,"Right foot",80,85,"Ring finger",September,Summer,No,No,Pizza/Pasta,Water,,10,11,3,,"Cell phone",4,3,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,151.5,30,151.5,2,Car,"5 `",0.455,42,None,834,835,999,1000,1000,1000,30,"Same length",70,70,"Same length",April,Summer,No,No,Meat,Water,Other,7,7,5,"Yes - other","In person",0,0,0,0,9,4,0,14,10,0,3,7,0,0,Some,"Some college",Techno/Electronic,"Super strength",Happy,Other,"Education/Youth development"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,100,Ambidextrous,"7’0 f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,20,Right-Handed,154,22.5,154.5,2,Car,10,0.738,82,Other,800,900,400,600,0,1000,2,"Left foot",61,65,"Ring finger",November,Summer,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",6,8,5,"Yes - other","Text messaging",115,120,20,15,5,10,3,6,30,40,0,10,40,0,"A lot","Some college","Rap/Hip hop",Invisibility,Healthy,Other,Health
USA,CA,2020,"12        ",Female,17,Right-Handed,5’3,"23 cm","176 ",2,Car,"10 ",0.892,58,Dancing,1000,1000,1000,1000,500,1000,23,"Same length","7 1/2",8,"Same length",February,Summer,No,No,Meat,Water,History,6,9,4,"Yes - other","Text messaging",5,10,4,4,3,3,2,1,2,2,2,3,0,2,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Actor,Environment
USA,CA,2020,"11        ",Male,16,Right-Handed,173,28,161,2,Bus,110,.317,47,"Football (American)",872,1000,449,936,1000,1000,28,"Same length",86,91,"Ring finger",January,Winter,No,No,Meat,Water,History,7,5,6,"Yes - broadband connection","In person",32,28,6,1,1,53,3,40,40,20,8,5,0,4,Some,"Some college","Rap/Hip hop","Freeze time",Healthy,"Musician or singer","Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,17,Right-Handed,167.6,24.13,175,2,Bus,90,.304,52,Basketball,1000,1000,1000,1000,1000,1000,,"Same length",22.86,21.59,"Same length",December,Winter,No,No,Fruit,Water,"Mathematics and statistics",6,3,7,"Yes - broadband connection","Text messaging",100,100,120,20,10,5,5,0,20,20,20,0,0,0,"A lot","Graduate degree",Other,"Freeze time",Rich,Relative,"International aid"
USA,CA,2020,"12        ",Female,24,Right-Handed,"5.3 ",24.5,160.3,2,"Rail (Train/Tram/Subway)",1hour,0.589,52,Walking/Hiking,!))),))),,,,,,"Same length",,,"Index finger",April,Winter,No,No,Pizza/Pasta,Juice,History,,,,"No internet connection","Myspace, Facebook, other social networking sites, or blog",,,,,,,,,,,,,,,Some,"Graduate degree",Reggae,Telepathy,Healthy,Relative,Health
USA,CA,2020,"12        ",Female,19,Right-Handed,149,18,"81 cm",3,Car,45,0.695,53,Soccer,800,700,600,500,10,50,18,"Left foot",65,75,"Ring finger",March,Fall,No,No,Fruit,Water,Science,7,5,2,"No internet connection","Cell phone",10,10,0,6,5,4,1,0,2,0,0,1,30,4,Some,"Graduate degree",Reggae,Telepathy,Healthy,"Doctor or nurse","International aid"
USA,CA,2020,"11        ",Female,16,Right-Handed,158,22,147,2,Car,40,.29,41,Swimming,1000,1000,775,1000,503,770,21,"Right foot",7,7,"Same length",May,Winter,No,No,"Rice/Noodle dishes",Water,Other,7,11,3,"Yes - other","Internet chat or instant messaging",5,5,48,2,20,7,12.5,12,2,1,1,13,0,2,"A lot","Graduate degree",Pop,Fly,Healthy,"Sports person",Environment
USA,CA,2020,"7         ",Female,14,Right-Handed,8,8,,1,Walk,10,1.346,48,Other,198,1000,765,503,567,711,8,"Same length",889,881,"Same length",December,Spring,No,No,Other,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,18,Right-Handed,170,25.4,66,2,"Rail (Train/Tram/Subway)",20,0.317,53,Other,5,5,7,7,9,10,25.4,"Same length",7.62,8.3,"Ring finger",October,Winter,No,No,Meat,Water,English,6,10,6,"Yes - broadband connection","In person",5,4,4,1,0,5,9,3,3,2,4,3,20,3,"A lot","Less than high school",Other,"Freeze time",Happy,"Musician or singer","Education/Youth development"
USA,CA,2020,"11        ",Male,17,Right-Handed,185,28,180,1,Bicycle,17,.27,40,Swimming,1000,551,850,647,1000,1000,27,"Right foot",80,90,"Ring finger",December,Winter,No,No,Seafood,Water,"Computers and technology",8,12,3,"Yes - broadband connection","Internet chat or instant messaging",0,0,10,1,20,35,5,13,2,0,8,0,0,12,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,Environment
USA,CA,2020,"11        ",Male,16,Right-Handed,173.7,24,168,2,Car,10,.347,52,Walking/Hiking,1000,1000,500,500,1000,1000,24,"Same length",69.85,76.2,"Ring finger",September,Winter,Yes,No,Meat,Water,"Mathematics and statistics",8,8,5,"Yes - broadband connection","Internet chat or instant messaging",100,100,9,2,2,24,1,5,15,24,10,1,0,0,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Healthy,"Business person",Religious
USA,CA,2020,"12        ",Male,17,Right-Handed,177cm,9.1cm,175cm,2,Car,5-15,3,3,Walking/Hiking,1000,1000,1000,1000,1000,1000,9cm,"Right foot",9.1mm,8.5cm,"Index finger",October,Summer,Yes,No,Meat,Milk,Other,2-3,4-6,4,"Yes - other","Cell phone","A lot","A lot",5,2,3-4,2-3,3-4,2,5,24/7,24/7,10,?,2,"A lot","High school",Other,Telepathy,Rich,"Musician or singer","Education/Youth development"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,162.5,20.32,91.44,2,Car,10,0.458,61,Running/Jogging,952,492,722,401,128,214,20.42,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,17,Right-Handed,5'2,,,2,Walk,12,1.183,42,Other,503,1000,1000,1000,487,203,,"Same length",,,"Index finger",August,Winter,Yes,No,Pizza/Pasta,Water,History,5,5,6,"Yes - broadband connection","Text messaging",250,250,5,8,10,0,0,0,12,12,10,0,0,5,"A lot","Graduate degree",Gospel,Telepathy,Happy,Other,"Education/Youth development"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Right-Handed,4.11,24cm,130,2,Walk,30,2.012,74,Soccer,1000,503,1000,652,5,5,23,"Right foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,12,Right-Handed,5'4,10,20,2,Bus,20,0.132,45,Soccer,,,,,,,10.5,"Left foot",6,5,"Index finger",August,Summer,No,No,Poultry,Water,"Physical education",8,11,5,"Yes - broadband connection","Text messaging",100,80,,,,,,,,,,,,,"Very little","Some college",Other,"Super strength",Famous,"Sports person",Health
USA,CA,2020,"9         ",Female,15,Right-Handed,152,"21 ",153,2,Bus,40,0.38,60,Dancing,888,1000,1000,968,0,11821,21.2,"Left foot",7.5,7.5,"Same length",November,Winter,No,No,Other,Coffee,English,8,10,7,"Yes - other","Internet chat or instant messaging",60,43,5,20,4,6,8,1,10,20,1,1,3,10,Some,"Graduate degree",Other,Telepathy,Happy,Friend,Health
USA,CA,2020,"9         ",Female,14,Right-Handed,163,22,157,2,Bus,20,0.36,62,Soccer,1000,1000,1000,1000,100,900,23,"Left foot",90,90,"Same length",October,Winter,Yes,No,"Rice/Noodle dishes",Water,Science,7,10,5,"Yes - broadband connection","Text messaging",37,20,2,1,5,3,8,0,1,4,20,8,4,1,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person","Education/Youth development"
USA,CA,2020,"12        ",Male,18,Right-Handed,166,25,166,1,Car,15,11.3,56,Basketball,600,1000,1000,1000,500,1000,25,"Same length",1.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,99999,Ambidextrous,100,,,44444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Super strength",Rich,"Sports person","Arts, culture, sports"
USA,CA,2020,"7         ",Female,13,Right-Handed,5'11,5,,2,Car,5,1.549,83,Basketball,100,100,100,100,10,10,,"Same length",,,,January,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,152,26,178,1,Car,20,.3,46,Basketball,800,500,1000,1000,1000,1000,26,"Same length",8,8,"Same length",September,Winter,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",8,7,2,"Yes - other","Internet chat or instant messaging",idk,idk,0,.5,.1,.5,0,1,1,1,3,.5,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Business person","Education/Youth development"
USA,CA,2020,"11        ",Male,17,Right-Handed,170.7,23,169,2,Car,10,0.376,53,Basketball,0,0,250,0,1000,1000,23,"Same length",70,70.5,"Ring finger",December,Winter,Yes,Yes,Meat,Water,History,8,6,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,3,20,1,0,12,3,20,7,1,20,0,0,0,None,"Some college",Other,"Freeze time",Happy,Relative,Health
USA,CA,2020,"12        ",Male,17,Right-Handed,167.4,22.6,165.7,2,Car,20,0.181,40,Other,1000,1000,1000,1000,600,600,24.13,"Left foot",76.2,82.35,"Ring finger",November,Winter,No,No,Meat,Water,"Mathematics and statistics",5,7,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,13,5,0,10,5,1,4,,,,,,,,,,,,,
USA,CA,2020,"9         ",Female,14,Right-Handed,4'11,16,62,1,"Rail (Train/Tram/Subway)",10,0.35,.30,Athletics,30,30,40,50,10,50,23,"Right foot",55,60,"Same length",May,Winter,No,Yes,Pizza/Pasta,Water,English,7,8,7,"Yes - other","Text messaging",230,130,3,5,1,3,1,1,1,1,1,1,1,1,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Rich,"Musician or singer","Wildlife, animals"
USA,CA,2020,"12        ",Male,18,Right-Handed,165,24,172,1,Car,15,0.596,42,Other,100,100,100,100,50,75,24,"Same length",75,70,"Index finger",January,Spring,Yes,No,"No favorite",Water,History,7,12,7,"Yes - dial-up connection","Text messaging",100,100,1,1,1,1,1,1,1,1,1,1,1,1,"A lot","Undergraduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Environment
USA,CA,2020,"12        ",Male,17,Right-Handed,167.6,22.86,,2,Car,20,0.416,44,Running/Jogging,834,791,1000,818,647,845,22.86,"Same length",88.9,60.0,"Index finger",June,Winter,No,No,"No favorite",Water,"Physical education",7,9,8,"Yes - broadband connection","Internet chat or instant messaging",13,9,22,25,5,6,18,3,35,26,56,35,0,27,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Business person",Health
USA,CA,2020,"7         ",Male,12,Right-Handed,5.4,25.5,65.5,2,Car,5,0.477,41,Soccer,535,380,449,412,471,529,25.5,"Same length",6,8,"Ring finger",February,Winter,No,No,Soups,"Powdered drink",English,9,9,5,"Yes - dial-up connection","In person",5,5,6,4,5,8,7,3,1,2,5,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Right-Handed,164.5,24.13,156,1,Car,15,.327,39,Soccer,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Female,14,Right-Handed,,,,,Car,15,,,Dancing,10000,10000,10000,10000,99,99,23,"Left foot",5,7,"Ring finger",December,Summer,Yes,No,Meat,Water,"Physical education",9,8,6,"Yes - broadband connection",Telephone,7,10,1-4hr,1-3hr,1hr,24hr,1hr,0,0,1hr,0,0,0,1hr,Some,Other,Pop,"Super strength",Famous,"Sports person","Arts, culture, sports"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,15,Right-Handed,231cm,"25 cm",70,2,Bus,20,.438,57,Basketball,50,50,60,70,30,10,10,"Same length",85,83,"Same length",March,Spring,No,No,"No favorite","Energy drink","Physical education",8,9,2,"Yes - broadband connection","Text messaging",40,50,1,2,1,1,3,2,5,4,0,2,1,1,"A lot","Undergraduate degree","Rap/Hip hop","Freeze time",Famous,"Sports person",Health
USA,CA,2020,"7         ",Male,14,Right-Handed,5,12,12,2,Car,"8 min",0.862,53,Basketball,1000,100,200,50,0,40,12,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,20,Left-Handed,5/6,21,68.6,2,Bus,24,0.735,42,Skateboarding/Rollerblading,1000,1000,1000,1000,0,1000,21,"Same length",6,7,"Ring finger",December,Winter,No,No,"Rice/Noodle dishes",Tea,Art,6,5,5,"Yes - other","Text messaging",100,300,0,0,0,2,6,8,6,5,6,3,8,4,None,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,"Wildlife, animals"
USA,CA,2020,"11        ",Male,16,Right-Handed,165.1,26,66,1,Car,"20 ",.303,33,Baseball/Softball,1000,1000,1000,1000,1000,1000,27,"Left foot",90,90,"Same length",November,Summer,Yes,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",8,10,6,"Yes - broadband connection","Text messaging",alot,alot,40,2,10,10,15,0,10,5,30,0,0,3,"A lot","Graduate degree",Country,Invisibility,Rich,"Sports person","Wildlife, animals"
USA,CA,2020,"12        ",Male,100,Ambidextrous,"7’0 ",5’0,10’0,50’0,Boat,??,1,1,Dancing,1,yes,no,yes,no,yes,"6,0","Same length","5,0","4,0","Same length",December,Summer,No,Yes,Desserts,Milk,"Physical education",1,1,no,"Yes - other",Other,1,1,,,,,,,,,,,,,"A lot",Other,"Punk rock",Invisibility,Rich,"Business person","Wildlife, animals"
USA,CA,2020,"11        ",Male,16,Right-Handed,170,24,175,1,Car,15,.295,37,Golf,700,650,650,650,1000,1000,25,"Left foot",75,80,"Ring finger",February,Fall,Yes,No,Pizza/Pasta,Water,"Computers and technology",8,12,4,"Yes - broadband connection","Internet chat or instant messaging",3,18,10,0,13,10,2,40,20,3,80,9,0,0,"A lot","Undergraduate degree",Other,"Super strength",Healthy,Relative,Environment
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,15,Right-Handed,180,26,178,1,"Rail (Train/Tram/Subway)",30,0.456,47,None,200,100,300,200,600,800,26,"Same length",87,90,"Ring finger",November,Summer,No,No,Meat,Tea,"Mathematics and statistics",7,10,5,"Yes - broadband connection","In person",0,0,3,0,5,1,3,35,0,0.5,25,0,0,0,Some,Other,Other,"Freeze time",Happy,Other,"Arts, culture, sports"
USA,CA,2020,"9         ",Male,14,Right-Handed,177,11,60,1,Walk,"15 ",0.443,62,Basketball,500,500,500,500,500,500,11,"Same length",70,70,"Same length",November,Summer,No,No,Pizza/Pasta,Water,Other,5-6,5-6,7,"Yes - other","In person",7,7,35,3,0,10,200,0,0,0,0,0,0,0,"A lot","High school","Rap/Hip hop",Invisibility,Rich,"Sports person",Health
USA,CA,2020,"11        ",Male,16,Right-Handed,175,25,175,2,Bus,50,0.3,48,"Football (American)",818,503,930,1000,818,877,25,"Same length",76.2,80,"Ring finger",September,Winter,No,No,Breads/Sandwiches,Water,Music,6,10,2,"Yes - other","In person",30,24,7,10,18,8,10,6,21,4,21,18,10,8,Some,"Graduate degree",Other,"Freeze time",Rich,Relative,Health
USA,CA,2020,"7         ",Female,12,Right-Handed,5'6,"7 1/2",168cm,2,Walk,"5 ",0.492,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Right-Handed,5'1,36.5,60,2,Car,7,0.3,50,Soccer,,,,,,,,,60,60.5,"Ring finger",August,Winter,No,No,"Rice/Noodle dishes",Water,English,8,7,11,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,177.8,28,183,2,Bus,50,.336,44,"Football (American)",700,700,800,700,900,1000,28,"Same length",75,75,"Same length",May,Winter,No,No,Meat,Water,"Mathematics and statistics",8,10,7,"Yes - broadband connection","Text messaging",200,200,30,30,10,24,15,7,10,70,1,1,0,5,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Wildlife, animals"
USA,CA,2020,"12        ",Female,17,Right-Handed,"5'6""",9,"70cm ",2,Car,25min,0.72,54,Soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,17,Right-Handed,,21.7,,2,Car,35-45,0.709,41,None,1000,1000,900,600,100,100,20.8,"Right foot",7.5cm,7.2cm,"Index finger",July,Summer,Yes,No,Desserts,Water,Art,6.5-7,10-12,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",1,1,24,0,12,48,0,3,14,0,84,0,0,12,Some,"Undergraduate degree",Other,Invisibility,Healthy,Relative,"Wildlife, animals"
USA,CA,2020,"12        ",Male,17,Right-Handed,6’2,25,181,2,Car,"5 ",0.69,5,Basketball,1000,1000,900,1000,500,800,25,"Same length",8,7,"Index finger",September,Spring,No,No,Meat,Water,"Physical education",7,8,4,"Yes - broadband connection",,10,10,0,0,3,10,10,10,10,10,10,10,10,10,Some,"Some college","Rap/Hip hop",Fly,Rich,Relative,Health
USA,CA,2020,"11        ",Male,16,Right-Handed,182.9,26.9,178,2,Walk,5,.32,62,Athletics,850,900,780,880,1000,1000,27.2,"Left foot",81.28,88.9,"Ring finger",September,Winter,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)",History,10,10,2,"Yes - other","In person",6,10,14,7,22,168,14,2,5,35,69,1,0,4,"A lot","Graduate degree",Other,"Freeze time",Happy,"Musician or singer","International aid"
